store_id,retailer,retailer_key,address,zip_code,full_address,latitude,longitude,geocode_source,geocode_confidence
2609,Tom Thumb,tomthumb,612 Grapevine Hwy,76054,"612 Grapevine Hwy, Hurst, TX 76054",32.8558,-97.1755,zip_centroid,zip_centroid
1262,Albertsons,albertsons,1300 Airport Freeway,76022,"1300 Airport Freeway, Bedford, TX 76022",32.8297,-97.1454,zip_centroid,zip_centroid
4267,Albertsons,albertsons,6249 Rufe Snow Dr,76148,"6249 Rufe Snow Dr, Watauga, TX 76148",32.8621,-97.2508,zip_centroid,zip_centroid
4152,Albertsons,albertsons,2321 W University Dr,76201,"2321 W University Dr, Denton, TX 76201",33.2289,-97.1314,zip_centroid,zip_centroid
4151,Albertsons,albertsons,4400 Western Center Blvd,76137,"4400 Western Center Blvd, Fort Worth, TX 76137",32.8664,-97.2891,zip_centroid,zip_centroid
2561,Tom Thumb,tomthumb,925 Northwest Hwy,75041,"925 Northwest Hwy, Garland, TX 75041",32.8794,-96.6411,zip_centroid,zip_centroid
4129,Albertsons,albertsons,2828 Motley Dr,75150,"2828 Motley Dr, Mesquite, TX 75150",32.8154,-96.6307,zip_centroid,zip_centroid
4289,Albertsons,albertsons,320 Casa Linda Plaza,75218,"320 Casa Linda Plaza, Dallas, TX 75218",32.8463,-96.6972,zip_centroid,zip_centroid
3570,Tom Thumb,tomthumb,7331 Gaston Ave,75214,"7331 Gaston Ave, Dallas, TX 75214",32.8248,-96.7498,zip_centroid,zip_centroid
2534,Tom Thumb,tomthumb,6333 E Mockingbird Ln,75214,"6333 E Mockingbird Ln, Dallas, TX 75214",32.8248,-96.7498,zip_centroid,zip_centroid
3658,Tom Thumb,tomthumb,2755 N Collins St,76006,"2755 N Collins St, Arlington, TX 76006",32.7785,-97.0834,zip_centroid,zip_centroid
4231,Albertsons,albertsons,215 N Carrier Pkwy,75050,"215 N Carrier Pkwy, Grand Prairie, TX 75050",32.7649,-97.0112,zip_centroid,zip_centroid
2686,Tom Thumb,tomthumb,1701 Randol Mill Rd,76012,"1701 Randol Mill Rd, Arlington, TX 76012",32.754,-97.1348,zip_centroid,zip_centroid
3569,Tom Thumb,tomthumb,3878 Oaklawn Ave #18,75219,"3878 Oaklawn Ave #18, Dallas, TX 75219",32.8132,-96.8142,zip_centroid,zip_centroid
1973,Tom Thumb,tomthumb,7000 Snider Plaza,75205,"7000 Snider Plaza, Dallas, TX 75205",32.826,-96.7843,zip_centroid,zip_centroid
3296,Tom Thumb,tomthumb,2380 Field St,75201,"2380 Field St, Dallas, TX 75201",32.7904,-96.8044,zip_centroid,zip_centroid
3311,Tom Thumb,tomthumb,2727 Live Oak St,75204,"2727 Live Oak St, Dallas, TX 75204",32.8038,-96.7851,zip_centroid,zip_centroid
1786,Tom Thumb,tomthumb,4215 S Carrier Pkwy,75052,"4215 S Carrier Pkwy, Grand Prairie, TX 75052",32.6605,-97.0311,zip_centroid,zip_centroid
3617,Tom Thumb,tomthumb,2611 W Park Row Dr,76013,"2611 W Park Row Dr, Arlington, TX 76013",32.7199,-97.1442,zip_centroid,zip_centroid
3614,Tom Thumb,tomthumb,315 S Hampton Rd,75208,"315 S Hampton Rd, Dallas, TX 75208",32.7492,-96.8389,zip_centroid,zip_centroid
3563,Tom Thumb,tomthumb,633 W Wheatland Rd,75116,"633 W Wheatland Rd, Duncanville, TX 75116",32.6587,-96.9114,zip_centroid,zip_centroid
4163,Albertsons,albertsons,5950 S Cooper St,76017,"5950 S Cooper St, Arlington, TX 76017",32.6555,-97.1599,zip_centroid,zip_centroid
4272,Albertsons,albertsons,850 E Loop 820,76112,"850 E Loop 820, Fort Worth, TX 76112",32.7493,-97.2181,zip_centroid,zip_centroid
4142,Albertsons,albertsons,301 SW Plaza Shopping Center,76016,"301 SW Plaza Shopping Center, Arlington, TX 76016",32.6889,-97.1905,zip_centroid,zip_centroid
4133,Albertsons,albertsons,427 E FM 1382,75104,"427 E FM 1382, Cedar Hill, TX 75104",32.5885,-96.9438,zip_centroid,zip_centroid
3623,Tom Thumb,tomthumb,210 E Pleasant Run Rd,75115,"210 E Pleasant Run Rd, Desoto, TX 75115",32.6041,-96.8653,zip_centroid,zip_centroid
696,Market Street,shopmarketstreet,3145 E Broad St,76063,"3145 E Broad St, Mansfield, TX 76063",32.5773,-97.1416,zip_centroid,zip_centroid
3042,Albertsons,albertsons,6220 US Hwy 287,76001,"6220 US Hwy 287, Arlington, TX 76001",32.6289,-97.1517,zip_centroid,zip_centroid
1972,Tom Thumb,tomthumb,980 Hwy N 287,76063,"980 Hwy N 287, Mansfield, TX 76063",32.5773,-97.1416,zip_centroid,zip_centroid
4789,Tom Thumb,tomthumb,4221 FM 1387,76065,"4221 FM 1387, Midlothian, TX 76065",32.4757,-96.9936,zip_centroid,zip_centroid
4279,Albertsons,albertsons,833 NE Alsbury Blvd,76028,"833 NE Alsbury Blvd, Burleson, TX 76028",32.5316,-97.309,zip_centroid,zip_centroid
104,Tom Thumb,tomthumb,1940 N Hwy 77,75165,"1940 N Hwy 77, Waxahachie, TX 75165",32.3808,-96.8374,zip_centroid,zip_centroid
4277,Albertsons,albertsons,3525 Sycamore School Rd,76133,"3525 Sycamore School Rd, Fort Worth, TX 76133",32.6526,-97.3758,zip_centroid,zip_centroid
226,Albertsons,albertsons,100 E Taylor St,75092,"100 E Taylor St, Sherman, TX 75092",33.6372,-96.6184,zip_centroid,zip_centroid
716,Albertsons,albertsons,200 W Crawford St,75020,"200 W Crawford St, Denison, TX 75020",33.745,-96.5496,zip_centroid,zip_centroid
2557,Tom Thumb,tomthumb,206 N Grand Ave,76240,"206 N Grand Ave, Gainesville, TX 76240",33.6547,-97.1583,zip_centroid,zip_centroid
361,Tom Thumb,tomthumb,1413 W Chapman Dr,76266,"1413 W Chapman Dr, Sanger, TX 76266",33.3563,-97.1814,zip_centroid,zip_centroid
232,Albertsons,albertsons,3563 Alton Rd,76109,"3563 Alton Rd, Fort Worth, TX 76109",32.7002,-97.3789,zip_centroid,zip_centroid
3312,Tom Thumb,tomthumb,2400 W 7th St,76107,"2400 W 7th St, Fort Worth, TX 76107",32.7392,-97.3852,zip_centroid,zip_centroid
2574,Tom Thumb,tomthumb,3100 S Hulen St,76109,"3100 S Hulen St, Fort Worth, TX 76109",32.7002,-97.3789,zip_centroid,zip_centroid
4124,Albertsons,albertsons,7400 Oakmont Blvd,76132,"7400 Oakmont Blvd, Fort Worth, TX 76132",32.6711,-97.4056,zip_centroid,zip_centroid
3622,Tom Thumb,tomthumb,6377 Camp Bowie Blvd,76116,"6377 Camp Bowie Blvd, Fort Worth, TX 76116",32.723,-97.4483,zip_centroid,zip_centroid
4290,Albertsons,albertsons,480 Northwest Pkwy,76020,"480 Northwest Pkwy, Azle, TX 76020",32.9035,-97.5412,zip_centroid,zip_centroid
4102,Albertsons,albertsons,1201 N Saginaw Blvd,76179,"1201 N Saginaw Blvd, Saginaw, TX 76179",32.9074,-97.4257,zip_centroid,zip_centroid
4150,Albertsons,albertsons,6308 Lake Worth Blvd,76135,"6308 Lake Worth Blvd, Lake Worth, TX 76135",32.8248,-97.4519,zip_centroid,zip_centroid
4223,Albertsons,albertsons,9300 Clifford St,76108,"9300 Clifford St, Fort Worth, TX 76108",32.7822,-97.4969,zip_centroid,zip_centroid
4286,Albertsons,albertsons,6700 W Freeway,76116,"6700 W Freeway, Fort Worth, TX 76116",32.723,-97.4483,zip_centroid,zip_centroid
4176,Albertsons,albertsons,225 E Spring St,76086,"225 E Spring St, Weatherford, TX 76086",32.7549,-97.7899,zip_centroid,zip_centroid
4294,Albertsons,albertsons,210 W Katherine P Raines,76033,"210 W Katherine P Raines, Cleburne, TX 76033",32.3509,-97.4103,zip_centroid,zip_centroid
